origin,distance_nm,month,bunker_price_usd,pressure_index,freight_rate_usd
Australia,4500,11,800.69,58.8,27.5
South Africa,3800,5,736.4,66.0,22.88
Australia,4500,2,779.92,81.0,29.33
Australia,4500,9,624.84,59.8,25.86
Australia,4500,12,870.55,35.1,25.82
Australia,4500,4,733.27,23.0,21.04
South Africa,3800,5,682.18,20.9,18.36
Australia,4500,10,555.16,64.5,25.29
South Africa,3800,7,739.6,74.2,26.85
Australia,4500,4,632.22,53.8,23.52
South Africa,3800,6,531.27,74.7,21.07
USA,8500,8,725.36,53.9,48.67
USA,8500,5,659.92,37.6,39.05
Australia,4500,12,619.36,39.3,25.1
Australia,4500,9,875.28,70.2,28.25
Indonesia,2200,1,738.15,80.2,17.98
Indonesia,2200,12,830.72,60.5,16.07
Australia,4500,8,759.73,58.4,29.16
Australia,4500,3,690.0,27.8,22.44
South Africa,3800,7,534.56,66.2,25.28
Australia,4500,12,558.84,22.0,21.09
South Africa,3800,5,609.75,46.7,21.03
Indonesia,2200,4,859.43,58.9,15.63
South Africa,3800,9,557.98,49.7,20.57
Australia,4500,4,841.32,55.1,25.42
Australia,4500,9,814.49,75.9,27.86
Australia,4500,8,712.27,51.5,27.31
Australia,4500,11,636.35,53.7,26.83
Indonesia,2200,1,543.36,36.5,14.23
Indonesia,2200,5,622.54,22.4,11.36
South Africa,3800,2,667.97,22.1,19.15
Indonesia,2200,5,696.2,84.1,15.27
Australia,4500,4,549.11,44.0,23.13
South Africa,3800,2,748.07,54.8,21.54
Australia,4500,1,574.26,53.0,26.2
Australia,4500,4,525.97,53.3,23.75
Australia,4500,7,582.77,64.9,29.03
Australia,4500,12,784.68,33.6,24.79
South Africa,3800,10,612.86,62.9,22.05
South Africa,3800,2,878.65,82.8,26.39
South Africa,3800,11,587.93,38.1,21.52
Indonesia,2200,6,800.76,61.7,15.45
Australia,4500,8,802.72,63.5,29.08
USA,8500,9,521.82,30.5,37.11
South Africa,3800,6,681.43,84.6,23.54
Australia,4500,8,825.72,62.7,30.37
South Africa,3800,12,703.17,61.4,24.44
USA,8500,3,841.14,61.0,45.28
Indonesia,2200,1,727.69,52.0,15.81
Australia,4500,3,796.68,22.8,21.35
USA,8500,5,838.06,68.6,47.65
South Africa,3800,3,872.92,24.9,19.89
Australia,4500,7,616.65,51.5,26.39
Indonesia,2200,3,725.22,26.3,11.55
South Africa,3800,6,649.11,36.5,18.95
Indonesia,2200,9,772.89,43.4,13.08
Australia,4500,7,671.12,36.7,25.36
Australia,4500,4,807.39,62.2,26.59
Indonesia,2200,12,839.18,21.8,12.65
Indonesia,2200,3,687.62,55.3,15.63
Australia,4500,10,829.75,36.3,22.35
Indonesia,2200,12,597.7,60.5,15.77
Australia,4500,4,668.09,65.5,25.73
South Africa,3800,10,548.24,21.6,17.38
USA,8500,7,674.19,64.8,49.93
Australia,4500,9,757.67,38.2,23.17
USA,8500,7,756.56,48.3,47.82
Australia,4500,12,536.56,22.6,22.09
Indonesia,2200,4,583.12,21.1,12.31
Australia,4500,5,663.46,60.0,25.56
South Africa,3800,2,613.92,21.0,17.97
South Africa,3800,4,741.71,81.4,24.98
USA,8500,12,730.88,81.1,51.3
South Africa,3800,1,812.03,73.3,26.93
South Africa,3800,1,866.03,78.8,27.25
Australia,4500,8,658.74,64.3,28.78
Australia,4500,3,621.47,27.7,21.99
Indonesia,2200,4,670.46,82.9,16.97
South Africa,3800,5,790.22,72.4,23.92
Australia,4500,7,729.0,76.4,31.38
South Africa,3800,12,674.44,68.8,24.41
USA,8500,4,817.52,40.8,42.08
Indonesia,2200,1,539.25,82.3,16.45
USA,8500,4,726.44,61.1,45.34
South Africa,3800,3,736.88,56.0,21.77
USA,8500,10,540.72,55.7,41.35
South Africa,3800,7,716.53,65.9,26.08
Indonesia,2200,8,546.19,73.4,17.11
Indonesia,2200,5,704.8,35.2,13.8
Indonesia,2200,1,861.01,84.1,18.34
Indonesia,2200,6,774.95,51.3,15.34
Australia,4500,3,560.03,52.0,23.0
Australia,4500,12,725.73,68.2,29.07
Indonesia,2200,3,730.01,82.5,16.58
Australia,4500,1,549.84,54.3,26.53
USA,8500,5,535.62,80.1,45.37
USA,8500,4,719.39,83.0,50.32
Indonesia,2200,1,745.92,58.0,16.15
USA,8500,9,849.49,82.3,50.55
Australia,4500,5,619.86,32.2,21.46
South Africa,3800,10,602.58,37.3,18.57
South Africa,3800,1,620.71,46.7,21.56
South Africa,3800,3,816.11,81.7,25.51
South Africa,3800,8,835.6,55.9,26.69
Australia,4500,8,655.53,72.7,29.09
USA,8500,11,724.87,24.1,41.42
Australia,4500,1,524.92,24.9,22.34
Indonesia,2200,3,719.96,70.0,16.63
USA,8500,10,656.03,35.7,38.5
Australia,4500,4,602.31,63.7,24.61
South Africa,3800,12,616.72,21.4,17.2
Indonesia,2200,2,826.79,55.9,14.68
South Africa,3800,11,665.25,28.7,21.45
Australia,4500,6,742.21,83.7,28.96
South Africa,3800,2,661.21,48.4,20.64
South Africa,3800,8,847.77,39.4,24.39
South Africa,3800,1,861.83,29.6,21.68
Australia,4500,8,536.51,60.4,28.21
Australia,4500,11,728.67,42.2,24.13
South Africa,3800,11,569.98,61.7,24.56
Australia,4500,8,668.2,76.8,31.14
South Africa,3800,3,534.71,31.0,18.49
Australia,4500,6,551.93,27.8,20.02
Australia,4500,10,768.54,22.6,21.58
Indonesia,2200,9,767.6,53.3,14.23
Australia,4500,4,810.23,68.6,26.52
Australia,4500,8,694.43,60.2,28.56
Indonesia,2200,11,610.88,66.4,14.52
Indonesia,2200,11,711.56,27.0,14.6
Australia,4500,9,785.47,31.8,21.26
South Africa,3800,1,596.12,41.3,22.45
Indonesia,2200,2,551.29,54.9,14.41
South Africa,3800,8,731.15,56.7,24.12
Indonesia,2200,2,607.97,52.4,13.14
Australia,4500,9,605.4,26.6,20.86
Australia,4500,11,551.64,72.4,27.32
Australia,4500,9,548.88,54.1,23.89
Australia,4500,2,727.36,79.6,27.78
Australia,4500,6,612.85,31.1,22.03
South Africa,3800,8,691.58,74.5,26.93
Australia,4500,10,636.52,47.7,22.57
Australia,4500,10,796.4,25.7,22.26
South Africa,3800,4,635.43,58.6,21.15
South Africa,3800,10,876.39,41.0,19.92
Indonesia,2200,1,569.98,20.2,12.65
South Africa,3800,3,645.59,80.4,23.1
Indonesia,2200,12,667.07,80.6,17.57
Indonesia,2200,12,823.06,29.1,14.0
Indonesia,2200,12,578.92,30.7,13.78
South Africa,3800,4,633.83,58.2,22.26
Indonesia,2200,8,678.09,44.5,14.31
Indonesia,2200,1,603.6,78.5,16.5
Australia,4500,5,846.33,60.6,25.59
Australia,4500,1,712.05,78.1,30.47
Indonesia,2200,6,790.87,66.0,15.06
Australia,4500,2,794.49,77.0,28.29
Australia,4500,6,713.13,44.6,25.29
South Africa,3800,8,573.97,34.9,21.12
Indonesia,2200,2,524.39,58.9,15.1
South Africa,3800,4,585.38,79.0,23.57
South Africa,3800,8,672.49,38.7,23.24
Australia,4500,2,740.12,21.2,21.52
Indonesia,2200,12,556.8,79.7,17.4
Australia,4500,9,672.69,67.9,26.53
USA,8500,6,847.85,28.0,39.31
Australia,4500,7,851.5,76.5,32.09
South Africa,3800,8,738.84,44.7,23.31
Indonesia,2200,10,640.06,45.9,14.01
South Africa,3800,11,852.27,50.3,24.42
South Africa,3800,11,682.88,29.2,20.6
Australia,4500,7,579.58,22.2,24.07
Australia,4500,10,524.71,63.1,24.04
Australia,4500,4,685.24,56.2,24.98
Australia,4500,7,734.34,24.4,25.47
Indonesia,2200,11,807.92,42.7,16.51
Australia,4500,8,731.48,39.1,26.22
Indonesia,2200,2,708.78,48.6,14.79
Australia,4500,1,640.37,24.9,21.53
Indonesia,2200,10,617.47,61.9,14.27
Australia,4500,2,832.12,46.5,24.79
South Africa,3800,3,603.19,63.7,21.57
Indonesia,2200,8,555.8,35.8,14.77
Indonesia,2200,8,810.47,82.6,17.76
Australia,4500,10,550.78,33.5,20.96
Australia,4500,3,729.89,47.4,23.43
Australia,4500,7,532.32,74.0,28.76
Australia,4500,9,677.01,39.1,23.6
Indonesia,2200,1,694.52,53.3,15.35
Indonesia,2200,2,748.05,36.8,13.46
USA,8500,10,844.21,64.9,46.96
Indonesia,2200,6,849.15,27.7,12.01
South Africa,3800,9,699.09,66.8,23.17
Australia,4500,6,569.28,78.5,26.62
